itemid,mean_frequency,total_count
221214,1.3333333333333333,16
221216,1.6666666666666667,5
221217,1.0,4
221223,1.0,1
221255,1.0,1
223253,1.0,4
224263,1.0,8
224264,1.0,10
224267,1.0,2
224274,1.3636363636363635,15
224275,1.9333333333333333,58
224276,1.25,5
224277,1.5416666666666667,37
224385,1.4,7
224560,1.0,2
225400,2.0,6
225401,2.1,21
225402,3.0,30
225430,1.0,1
225432,1.0,4
225440,1.0,1
225451,1.1428571428571428,8
225454,1.2857142857142858,9
225457,1.0,1
225459,2.0588235294117645,35
225462,1.0,1
225465,1.0,1
225469,1.0,4
225470,1.0,2
225752,1.0,11
225789,1.0,2
225792,1.3333333333333333,16
225794,1.0,4
225814,1.5,3
225820,1.0,1
225966,1.0,6
227194,1.1111111111111112,10
227715,1.0,1
228125,2.0,4
228128,1.3333333333333333,4
228129,2.111111111111111,19
229298,1.0,1
229351,1.0,7
229501,1.0,1
229580,1.0,2
229581,1.25,5
